scholar_indx,name,grade,parents,spouse,siblings,children,birth_date_place,places_of_stay,death_date_place,teachers,students,area_of_interest,tags,books,students_inds,teachers_inds,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason,gender,simplename,fullname,relationship,specified_teachers,specified_students,info,hadiths,generation,notes
10535,al-Qasim ibn Muhammad القاسم بن محمد بن أبي بكر الصديق,Follower(Tabi') [3rd Generation],Muhammad ibn Abi Bakr [168] / Umm Walad,Asma bint 'Abdur-Rahman [10522],Quriabah bin Muhammad [10536],"'Abdur Rahman bin al-Qasim [10530] , Farwa ibn al-Qasim [10531] , Umm Hakim ibn al-Qasim [10532] , 'Abda ibn al-Qasim [10533] ,  [11195]",~38 AH (Medinah),Medinah,106/108 AH (Medinah)[ Natural ],"Muhammad ibn Abi Bakr [168] , 'Aisha bint Abi Bakr [53] , ibn Abbas [17] , ibn Umar [18] , 'Abdullah bin 'Amr bin al-'Aas [29] , 'Abdullah ibn al-Zubayr [106] , 'Abdullah ibn Ja'far [108] , Abu Hurairah [13] , 'Abdullah bin Khabbab ibn al-Aratt [2230] , Mu'awiya ibn Abu Sufyan [27] , Rafi' bin Khadij bin Rafi' [1986] , Salah bin Khuwat bin Jubayr [11175] , Aslam Client Of 'Umar [11416] , عبد الرحمن, Mujma' bin Yazid bin Jariyya [1719] , Fatima bint Qays [224] , Others, أرسل عن بن مسعود","al-Zuhri [11013] , Nafie' [11014] , 'Abdur Rahman bin al-Qasim [10530] ,  [11195] , 'Amir al-Sha'bi [11052] , Salim bin 'Abdullah bin 'Umar [11011] , Yahya bin Sa'id al-Ansari [11062] , 'Abdullah bin 'Ubaidullah b. Abi Mulayka [11090] , 'Ubaidullah bin 'Umar bin Hafs [11201] , Sa'd bin Ibrahim [11063] , 'Ubaidullah bin Mqsm [11521] , Ayoub al-Sakhtiyani [11015] , 'Abdullah bin 'Awn bin Artaban [11071] , Rabi'a bin Yazid al-Damashqi [11414] , Abu al-Zanad [11061] , Ayman bin Nabil [11555] , افلح بن حميد, Thabit bin 'Ubaid al-Ansari [10751] , Hanzala bin Abi Sufyan bin 'Abdur Rahman [11243] , Rabi'ya bin Ata'a al-Zhry [11849] , 'Asim bin 'Ubaidullah [19808] , 'Aabad bin Mnswr [19848] , 'Abdullah bin al-'Ala' [20399] , 'Ikrama bin 'Ammar [10704] , 'Umar bin 'Abdullah [11529] , Mzahr bin Aslm [12508] , Musa bin Srjs [12524] , Abu Bakr bin Muhammad bin 'Amr bin Hazm [11239] , Malik bin Dinar al-Naji [19858] , 'Isa bin Maymun al-Jrshy [23048]","Narrator[Grade:No Doubt] [ ع  -  ثقة ], Fiqh, Seerah, Tafsir/Quran","Quraish [Quraish] , B.Taym [B.Taym] , Madni [Madni] , Seven Fuqaha [Seven%20Fuqaha] , Imam [Imam] , Hafiz [Hafiz]",NA,"11013, 11014, 10530, 11195, 11052, 11011, 11062, 11090, 11201, 11063, 11521, 11015, 11071, 11414, 11061, 11555, 10751, 11243, 11849, 19808, 19848, 20399, 10704, 11529, 12508, 12524, 11239, 19858, 23048","168, 53, 17, 18, 29, 106, 108, 13, 2230, 27, 1986, 11175, 11416, 1719, 224",Medinah,['38 AH'],38,NA,108,NA,Medinah,Natural,male,al-Qasim ibn Muhammad,al-Qasim ibn Muhammad ibn Abi Bakr,student,53,"11555, 10530",Nephew of Aishah bint Abi Bakr,,Follower,
10520,'Abdullah ibn 'Abdur-Rahman ibn Abi Bakr عبد الله بن عبد الرحمن بن أبي بكر الصديق,Follower(Tabi') [3rd Generation],'Abdur Rahman bin Abi Bakr [107] / Qaraybah bint Abi Umayyah al-Sugra [81],'Aisha bint Talha [10504],"Muhammad bin 'Abdur Rahman [208] , Hafsa bint 'Abdur-Rahman ibn Abi Bakr [10521] , Umm Hakim bint 'Abdur-Rahman b. Abi Bakr [10527] , Asma bint 'Abdur-Rahman [10522]","Talha bin 'Abdullah [12193] , Abu bakr, 'Imran, 'Abdur Rahman, Nafisa, Umm Farwa",(Medinah),Medinah,(Medinah)[ Natural ],"'Abdur Rahman bin Abi Bakr [107] , Umm Salamah [56]","Talha bin 'Abdullah [12193] , Asma bint 'Abdur-Rahman [10522] , al-Qasim ibn Muhammad [10535]","Narrator[Grade:No Doubt] [ خ  م  خد  س  ق  -  مقبول ], Fiqh","Quraish [Quraish] , B.Taym [B.Taym] , Madni [Madni]",NA,"12193, 10522, 10535","107, 56",Medinah,[],NA,NA,NA,NA,Medinah,Natural,male,`Abdullah ibn `Abdur-Rahman,`Abdullah ibn `Abdur-Rahman ibn Abi Bakr,student,53,,Nephew of Aishah bint Abi Bakr,,Follower,
10522,Asma bint 'Abdur-Rahman أسماء بنت عبد الرحمن بن أبى بكر الصديق,Follower(Tabi') [3rd Generation],'Abdur Rahman bin Abi Bakr [107] / Umm Walad,al-Qasim ibn Muhammad [10535],NA,"'Abdur Rahman bin al-Qasim [10530] , Farwa ibn al-Qasim [10531] , Umm Hakim ibn al-Qasim [10532] , 'Abda ibn al-Qasim [10533]",(Medinah),Medinah,(Medinah)[ Natural ],'Aisha bint Abi Bakr [53],'Abdur Rahman bin al-Qasim [10530],Narrator[Grade:No Doubt] [ خد  -  مقبول ],"Female [Female] , Quraish [Quraish] , B.Taym [B.Taym]",NA,10530,53,Medinah,[],NA,NA,NA,NA,Medinah,Natural,female,Asma bint `Abdur-Rahman,Asma bint `Abdur-Rahman ibn Abi Bakr,student,53,,Niece of Aishah bint Abi Bakr,,Follower,
11002,Sa'id ibn al-Musayyib سعيد بن المسيب بن حزن أبو محمد القرشي,Follower(Tabi') [2nd Generation],al-Musayyib bin Hazn b. Abi Wahb [2070] / Umm Sa'id bint Sakhar bin Hakim [2077],"Umm Habib bint Abi Karim from Daus, Umm Walad",NA,"Muhammad bin Sa'id bin al-Musayyib [12459] , Sa'id, Ilyas, Umm 'Uthman, Umm 'Amr, Fakhta, Maryum",14 AH/637 CE (Medinah),Medinah,94 AH/715 CE (Medinah)[ Natural ],"Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , Sa'd ibn Abi Waqqas [9] , Hakim ibn Hizam [423] , ibn Abbas [17] , ibn Umar [18] , 'Abdullah bin 'Amr bin al-'Aas [29] , أبيه المسيب, Ma'mar bin 'Abdullah [783] , Abu Dharr al-Ghaffari [23] , Abu al-Darda [37] , Hassan ibn Thabit [452] , Hakim ibn Hizam [423] , Zayd ibn Thabit [49] , 'Abdullah bin Zayd Mazni [605] , 'Attab bin Usayd bin Abi al-'Is [994] , 'Uthman bin Abi al-'Aas al-Thaqafi [3210] , Abu Tha'laba al-Khushni [4056] , Abu Qatada ibn Rab'i [391] , Abu Musa al-Asha'ari [41] , Abu Sa'id al-Khudri [38] , Abu Hurairah [13] , كان زوج ابنته, 'Aisha bint Abi Bakr [53] , Asma bint 'Umays [69] , Khawlah bint Hakim [76] , Fatima bint Qays [224] , Umm Sulaym bint Milhan [83] , Umm Shareek [187] , Several","ابنه محمد, Salim bin 'Abdullah bin 'Umar [11011] , al-Zuhri [11013] , قتال, Sharayk bin 'Abdullah bin Abi Namr [11858] , Abu al-Zanad [11061] , Sa'd bin Ibrahim [11063] , 'Amr bin Murrah bin 'Abdullah [11381] , Yahya bin Sa'id al-Ansari [11062] , Da'ud bin Abi Hnd [11585] , Tarq bin 'Abdur Rahman [11355] , 'Abdul Hameed bin Jubayr bin Shayba [11255] , Abdul Khaliq bin Salma [10700] , 'Abdul Majeed bin Sahl bin 'Abdur Rahman [11705] , 'Amr bin Muslim bin'Umara bin Akayma [10604] , Muhammad bin 'Ali b. al-Hussain al-Baqir [11442] , Muhammad bin al-Munkdar bin 'Abdullah [11048] , Hashim bin Hashim bin 'Utba [11227] , Yonus bin Yusuf bin Hmas [10987]","Narrator[Grade:Thiqah Thiqah] [ ع  - ], Fiqh, Seerah, Tafsir/Quran","Quraish [Quraish] , B.Makhzum [B.Makhzum] , Madni [Madni] , Seven Fuqaha [Seven%20Fuqaha] , Imam [Imam]",NA,"11011, 11013, 11858, 11061, 11063, 11381, 11062, 11585, 11355, 11255, 10700, 11705, 10604, 11442, 11048, 11227, 10987","2, 3, 4, 5, 9, 423, 17, 18, 29, 783, 23, 37, 452, 423, 49, 605, 994, 3210, 4056, 391, 41, 38, 13, 53, 69, 76, 224, 83, 187",Medinah,"['14 AH', '637 CE']",14,637,94,715,Medinah,Natural,male,Sa`id ibn al-Musayyib,Sa`id ibn al-Musayyib,student,53,,,,Follower,he learned from many female teachers too https://isnad.io/rawi/11002
2,Abu Bakr As-Siddique ( أبو بكر الصديق ( رضي الله عنه,Comp.(RA) [1st Generation],Abu Quhafa Uthman bin 'Amir [500] / Salma Umm-ul-Khair [501],"Qutaylah bint Abdul-'Uzza, Umm Ruman [91] , Asma bint 'Umays [69] , Habiba bint Kharijah ibn Zayd [203]","Quafah ibn Uthman, Mu'taq, Utaiq","Asma' bint Abi Bakr [70] , 'Abdullah bin Abi Bakr [110] , 'Aisha bint Abi Bakr [53] , 'Abdur Rahman bin Abi Bakr [107] , Muhammad ibn Abi Bakr [168] , Umm Khultum bint Abi Bakr [10500]",51 BH/573 CE (Makkah),"Makkah, Medina",13 AH/634 CE (Medina)[ Natural ],"Muhammad (saw) [1] ,","'Umar ibn al-Khattab [3] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , 'Abdur Rahman Ibn 'Awf [8] , Zayd ibn Thabit [49] , 'Aisha bint Abi Bakr [53] , 'Abdur Rahman bin Abi Bakr [107] , Muhammad ibn Abi Bakr [168] , ibn Abbas [17] , 'Abdullah ibn al-Zubayr [106] , ibn Umar [18] , 'Abdullah bin 'Amr bin al-'Aas [29] , Anas bin Malik [19] , Jabir ibn 'Abdullah [34] , al-Bara' bin Azib bin al-Harith [400] , Abu Sa'id al-Khudri [38] , Abu Hurairah [13] , Tariq bin Shahab [3680] , 'Uqba binal-Harith bin 'Amir [872] , Abu al-Tufayl, 'Amir bin Wathla [3660] , 'Abdur Rahman bin 'Asayla al-Sanabahi [11194] , Aslam Client Of 'Umar [11416] , Qays bin Abi Hazim [11046] , Awsat al-Bajli [17003] , others","Tafsir/Quran, Recitation/Quran, Narrator [ ع  -  صحابة ], Commander, Khalifah","Quraish [Quraish] , B.Taym [B.Taym] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq] , Scribe [Scribe] , Promised Paradise [Promised%20Paradise]",NA,"3, 4, 5, 8, 49, 53, 107, 168, 17, 106, 18, 29, 19, 34, 400, 38, 13, 3680, 872, 3660, 11194, 11416, 11046, 17003",1,Makkah,"['51 BH', '573 CE']",51,573,13,634,Medina,Natural,male,Abu Bakr as-Siddiq,Abu Bakr as-Siddiq,teacher,1,53,Father of Aishah bint Abi Bakr and the first caliph ,,Companion,
3,'Umar ibn al-Khattab ( عمر بن الخطاب بن نفيل ( رضي الله عنه,Comp.(RA) [1st Generation],Khattab ibn Nufayl / Hantamah bint Hisham Makhzumi,"Zaynab bint Maz'un [124] , Umm Kulthum bint 'Amr (Jarwal) [186] , Qaraybah bint Abi Umayyah al-Sugra [81] , Jamila bint Thabit ibn Abi al-Aflah [564] , 'Atikah bint Zayd [196] , Umm Kulthum bint 'Ali bin Abi Talib [99] , Umm Hakim [93] , Umm Walad(Lihayyah), Umm Walad(Fakhihah)","Zayd ibn al-Khattab [114] , Fatima bint al-Khattab [78] , Safiyah bint al-Khattab [445]","ibn Umar [18] , Hafsa bint Umar [54] , 'Abdur Rahman bin 'Umar (Akbar) [560] , 'Ubaidallah bin 'Umar [561] , Zayd bin 'Umar [562] , 'Asim bin 'Umar [563] , 'Iyad bin 'Umar [10577] , Zaid (older) bin 'Umar [10575] , Ruqayyah bint 'Umar [10576] , Fatima bint 'Umar [10578] , 'Abdur Rahman(middle), 'Abdur Rahman(younger), Zainab bint 'Umar [10579]",41 BH/582 CE (Makkah),"Makkah, Medina",23 AH/645 CE (Medinah)[ Martyred  ],"Muhammad (saw) [1] , Abu Bakr As-Siddique [2]","Hafsa bint Umar [54] , ibn Umar [18] , 'Asim bin 'Umar [563] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , Talha ibn 'Ubaidullah [6] , Sa'd ibn Abi Waqqas [9] , 'Abdur Rahman Ibn 'Awf [8] , Ubayy ibn Ka'b [39] , ibn Mas'ud [16] , Mu'awiya ibn Abu Sufyan [27] , 'Amr bin al-'Aas [28] , Zayd ibn Thabit [49] , 'Abdullah bin 'Amr bin al-'Aas [29] , 'Abdullah ibn al-Zubayr [106] , ibn Abbas [17] , 'Aisha bint Abi Bakr [53] , Anas bin Malik [19] , al-Bara' bin Azib bin al-Harith [400] , Abu Hurairah [13] , Abu Musa al-Asha'ari [41] , 'Uqba bin 'Amir al-Juhayni [189] , Abu Qatada ibn Rab'i [391] , 'Adi ibn Hatim al-Tayyi' [212] , Hudhayfah ibn al-Yaman [145] , Ash'uth bin Qays [485] , al-Nu'man bin Bashir ibn Sa'd [274] , Jarir bin 'Abdullah al-Bajli [4057] , Ka'b bin 'Ajra al-Salmi, al-Ansari [4052] , al-Miswar bin Makhrama bin Nawfal [2201] , Sufyan bin 'Abdullah bin Rabi'a [5066] , Shayba bin 'Uthman [2801] , 'Abdullah bin 'Unays al-Juhani [1048] , Hamza bin 'Amr al-Aslami [4123] , Naf' bin Abd al-Harith [5309] , Fadala bin 'Ubaid bin Naqid [1935] , Abu Umamah Or Abu Umayya [15659] , others","Tafsir/Quran, Recitation/Quran, Narrator [ ع  -  صحابة ], Commander, Khalifah","Quraish [Quraish] , B.'Adi [B.'Adi] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq] , Scribe [Scribe] , Promised Paradise [Promised%20Paradise]",NA,"54, 18, 563, 4, 5, 6, 9, 8, 39, 16, 27, 28, 49, 29, 106, 17, 53, 19, 400, 13, 41, 189, 391, 212, 145, 485, 274, 4057, 4052, 2201, 5066, 2801, 1048, 4123, 5309, 1935, 15659","1, 2",Makkah,"['41 BH', '582 CE']",41,582,23,645,Medinah,Martyred,male,`Umar ibn al-Khattab,`Umar ibn al-Khattab,teacher,1,53,The second caliph,,Companion,
6,Talha ibn 'Ubaidullah ( طلحة بن عبيد الله ( رضي الله عنه,Comp.(RA) [1st Generation],'Ubaidullah b. 'Uthman b. 'Amr / as-Sa'bah bint al-Hadrami [585],"Hamnah bint Jahsh [72] , Khawla bint al-Qa'Qa' [580] , Umm Aban bint 'Utba b. Rabi'a [581] , Umm Khultum bint Abi Bakr [10500] , Suada bint 'Auf al-Murriya [582] , al-Jarba' bint Qasama al-Tayyi' [583]",'Uthman bin 'Ubaidullah [2704],"Muhammad As-Sajjad ibn Talha [577] , 'Imran ibn Talha [578] , Musa ibn Talha [579] , Ya'qub ibn Talha [10597] , Isma'il ibn Talha [10598] , Ishaq ibn Talha [10599] , Zakariyya bin Talha [10502] , Yusuf ibn Talha [10503] , 'Aisha bint Talha [10504] , 'Isa bin Talha bin 'Ubaidullah [10573] , Yahya ibn Talha [10574] , Umm Ishaq",28 BH/596 CE (Makkah),"Makkah, Medinah",36 AH/656 CE (Medinah)[ Martyred(Jamal) ],"Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3]","Muhammad As-Sajjad ibn Talha [577] , 'Imran ibn Talha [578] , Musa ibn Talha [579] , Isma'il ibn Talha [10598] , 'Isa bin Talha bin 'Ubaidullah [10573] , Yahya ibn Talha [10574] , 'Aisha bint Talha [10504] , Jabir ibn 'Abdullah [34] , 'Abdur Rahman bin 'Uthman [2705] , al-Sa'ib bin Yazid bin Akht Namr [3048] , Rabi'a bin 'Abdullah bin al-Hudayr [2711] , 'Abdullah ibn Shaddad [169] , Abu Salama bin 'Abdur Rahman [10567] , Qays bin Abi Hazim [11046] , Malik bin Aws bin al-Hadathan [5030] , Abu 'Uthman al-Nahdi [11113] , Malik bin Abi 'Amir [11443] , Others","Recitation/Quran, Narrator [ ع  -  صحابة ], Commander","Quraish [Quraish] , B.Taym [B.Taym] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Uhud [Uhud] , Khandaq [Khandaq] , Promised Paradise [Promised%20Paradise]",NA,"577, 578, 579, 10598, 10573, 10574, 10504, 34, 2705, 3048, 2711, 169, 10567, 11046, 5030, 11113, 11443","1, 2, 3",Makkah,"['28 BH', '596 CE']",28,596,36,656,"Medinah, Jamal",Martyred,male,Talha ibn `Ubaydillah,Talha ibn `Ubaydillah,teacher,1,53,,,Companion,
9,Sa'd ibn Abi Waqqas ( سعد بن أبي وقاص ( رضي الله عنه,Comp.(RA) [1st Generation],Malik bin Uhaib bin 'Abd Manaf / Hamnah bint Sufyan bin Umayyah bin 'Abd Shams,"bint Shihab bin 'Abdullah, Maria bint Qays, Umm 'Amir, Umm Hakim bint Qariz bin Khalid [596] , Others","'Amir ibn Abi Waqqas [175] , 'Umayr ibn Abi Waqqas [822] , 'Utba ibn Abi Waqqas [2240]","Ishaq bin Sa'd ibn Abi Waqqas [597] , Umm Hakam, 'Umar bin Sa'd ibn Abi Waqqas [598] , Muhammad bin Sa'd ibn Abi Waqqas [10553] , Umm Qasim, Umm Khultum, 'Amir bin Sa'd ibn Abi Waqqas [10554] , Isma'il bin Sa'd ibn Abi Waqqas [10555] , Mus'ub bin Sa'd ibn Abi Waqqas [10556] , Ibrahim bin Sa'd ibn Abi Waqqas [10557] , Ya'qub bin Sa'd ibn Abi Waqqas [10558] , 'Aisha bint Sa'd ibn Abi Waqqas [10559] , Yahya bin Sa'd ibn Abi Waqqas [10537] , Salih, 'Abdullah bin Sa'd ibn Abi Waqqas [10534] , 'Abdur Rahman, 'Umayr bin Sa'd ibn Abi Waqqas [10538] , 'Amr bin Sa'd ibn Abi Waqqas [10539] , Others",39 BH/584 CE (Makkah),"Makkah, Medina, Kufa",55 AH/664 CE ((Al-'Atiq) Medina)[ Natural ],"Muhammad (saw) [1] , Khawlah bint Hakim [76]","'Umar bin Sa'd ibn Abi Waqqas [598] , Muhammad bin Sa'd ibn Abi Waqqas [10553] , 'Amir bin Sa'd ibn Abi Waqqas [10554] , Isma'il bin Sa'd ibn Abi Waqqas [10555] , Mus'ub bin Sa'd ibn Abi Waqqas [10556] , Ibrahim bin Sa'd ibn Abi Waqqas [10557] , Ya'qub bin Sa'd ibn Abi Waqqas [10558] , 'Aisha bint Sa'd ibn Abi Waqqas [10559] , 'Aisha bint Abi Bakr [53] , ibn Umar [18] , ibn Abbas [17] , Jabir bin Samra [393] , al-Sa'ib bin Yazid bin Akht Namr [3048] , Tha'laba bin Sa'ayr [5003] , Malik bin Aws bin al-Hadathan [5030] , Ibrahim bin 'Abdur Rahman [584] , Abu 'Uthman al-Nahdi [11113] , Abu 'Abdur Rahman al-Salmi [11359] , 'Alqama bin Qays [11017] , Basr bin Sa'id al-Madni [11153] , al-Ahnaf bin Qays [11112] , Sharih bin Hani' al-Harithi [10774] , 'Amr bin Maymun al-Aw'di [11382] , Mujahid bin Jabir [11028] , Dinar Abu 'Abdullah al-Qaraz [11846] , Ghnym bin Qays al-Mazny [10710] , Others","Recitation/Quran, Narrator [ ع  -  صحابة ], Fiqh, Commander","Quraish [Quraish] , B.Zuhrah [B.Zuhrah] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq] , Baqi' [Baqi'] , Promised Paradise [Promised%20Paradise]",NA,"598, 10553, 10554, 10555, 10556, 10557, 10558, 10559, 53, 18, 17, 393, 3048, 5003, 5030, 584, 11113, 11359, 11017, 11153, 11112, 10774, 11382, 11028, 11846, 10710","1, 76",Makkah,"['39 BH', '584 CE']",39,584,55,664,(Al-'Atiq,Natural,male,Sa`d ibn Abi Waqqas,Sa`d ibn Abi Waqqas,teacher,1,53,,,Companion,
63,Fatima bint Muhammad ( فاطمة الزهراء بنت محمد بن عبد الله ( رضي الله عنها,Comp.(RA) [1st Generation],Prophet Muhammad(saw) [1] / Khadijah [51],Ali ibn Abi Talib [5],"al-Qasim bin Muhammad [516] , Zaynab bint Muhammad [97] , Ruqayyah bint Muhammad [102] , Umm Kulthum bint Muhammad [94] , 'Abdullah bin Muhammad [517]","Hassan ibn Ali bin Abi Talib [30] , Hussain ibn 'Ali ibn Abi Talib [31] , Zaynab bint 'Ali bin Abi Talib [98] , Umm Kulthum bint 'Ali bin Abi Talib [99]",16 BH/605 CE (Makkah),"Makkah, Medina",11 AH/632 CE (Medina)[ Natural ],"Muhammad (saw) [1] ,","Hassan ibn Ali bin Abi Talib [30] , Hussain ibn 'Ali ibn Abi Talib [31] , Ali ibn Abi Talib [5] , 'Aisha bint Abi Bakr [53] , Umm Salamah [56] , Anas bin Malik [19] , Salma [171]","Recitation/Quran, Narrator [ ع  -  صحابة ]","Female [Female] , Quraish [Quraish] , B.Hashim [B.Hashim] , Prophet's Child [Prophet's%20Child] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant]",NA,"30, 31, 5, 53, 56, 19, 171",1,Makkah,"['16 BH', '605 CE']",16,605,11,632,Medina,Natural,female,Fatimah bint Muhamamd,Fatimah bint Muhamamd,teacher,1,53,Daughter of the Prophet and step-daughter of Aishah bint Abi Bakr,,Companion,
961,Judhama bint Jandal al-Asadiyya ( جذامة بنت جندل/جدامة بنت وهب الأسدية ( رضي الله عنها,Comp.(RA) [1st Generation],NA,Unays bin Qatada [1720],'Ukkasha bin Whab al-Asadi [973],NA,(Makkah),"Makkah, Medina",(Medina)[ Natural ],"Muhammad (saw) [1] ,",'Aisha bint Abi Bakr [53],Recitation/Quran,"Female [Female] , Non-Quraish [Non-Quraish] , B.Asad B.Khuzayma [B.Asad%20B.Khuzayma] , Ally B.Abd Shams [Ally%20B.Abd%20Shams] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant]",NA,53,1,Makkah,[],NA,NA,NA,NA,Medina,Natural,female,Juthamah bint Jandal al-Asadiyyah,Juthamah bint Jandal al-Asadiyyah,teacher,1,53,,,Companion,
10504,'Aisha bint Talha عائشة بنت طلحة بن عبيد الله التيمى,Follower(Tabi') [3rd Generation],Talha ibn 'Ubaidullah [6] / Umm Khultum bint Abi Bakr [10500],"'Abdullah ibn 'Abdur-Rahman ibn Abi Bakr [10520] , Mus'ab ibn al-Zubayr [10540] , 'Umar ibn 'Ubaydullah at-Taymi","Zakariyya bin Talha [10502] , Yusuf ibn Talha [10503]","Talha bin 'Abdullah [12193] , Abu Bakr, 'Imran, 'Abdur Rahman, Nafisa, Umm Farwa",(Medinah),Medinah,110 AH (Medinah)[ Natural ],'Aisha bint Abi Bakr [53],"Talha bin 'Abdullah [12193] , Habib bin Abi Fadalan/Fadala [14069] , Talha bin Yahya bin Talha [11863] , Mua'wiya bin Ishaq bin Talha [11723] , al-Minhal bin 'Amr al-Asadi [11656] , Fdyl bin 'Amr al-Fqymy [10810] , 'Ata' bin Abi Rabah [11029]","Narrator[Grade:Thiqah Thiqah] [ ع  -  ثقة ], Fiqh","Female [Female] , Quraish [Quraish] , B.Taym [B.Taym]",NA,"12193, 14069, 11863, 11723, 11656, 10810, 11029",53,Medinah,[],NA,NA,110,NA,Medinah,Natural,female,`Aishah bint Talhah,`Aishah bint Talhah ibn `Ubaydillah,student,53,,,,Follower,"she also had a lot of students, try to find some who narrated from her aishah-narrated hadiths. https://isnad.io/rawi/10504, https://isnad.io/hadith/115"
10567,Abu Salama bin 'Abdur Rahman أبو سلمة بن عبد الرحمن بن عوف,Follower(Tabi') [3rd Generation],'Abdur Rahman Ibn 'Awf [8] / Tumadir bint al-Asbagh Kalbia [593],"Umm Walad, Umm Hasan, Umm Walad, Umm 'Uthman, Burayha of B. Zuhra","Muhammad bin 'Abdur-Rahman [588] , Ibrahim bin 'Abdur Rahman [584] , 'Umar bin 'Abdur Rahman bin Awf [10560] , Humaid bin 'Abdur Rahman [10561] , Zayd bin 'Abdur Rahman [10562] , 'Urwa (Akbar) bin 'Abdur Rahman [10563] , Salim(Asghar) bin 'Abdur Rahman [10564] , Abu Bakr bin 'Abdur Rahman [10566] , 'Abdullah bin 'Abdur Rahman [10565] , 'Abdur Rahman bin 'Abdur Rahman [10568] , Mus'ub bin 'Abdur Rahman [10569]","Salma, Tamadur, Hasan, Husain, Abu Bakr, 'Abdul Jabbar, 'Abdul 'Aziz, Na'ila, Salma, 'Abdul Malik, Umm Khultum(akb), Umm Khultum(sug), Umm 'Abdullah, Asma, 'Umar",(Medina),Medina,94 AH or 104 AH (Medina)[ Natural ],"Abu Hurairah [13] , ibn Abbas [17] , ibn Umar [18] , 'Abdur Rahman Ibn 'Awf [8] , 'Uthman ibn 'Affaan [4] , Talha ibn 'Ubaidullah [6] , 'Ubada bin As-Samit [40] , Abu al-Darda [37] , 'Atika bint 'Awf [590] , Zaynab bint al-'Awwam bin Khuwaylid [431] , Rafi' bin Khadij bin Rafi' [1986] , Abu Qatada ibn Rab'i [391] , 'Aisha bint Abi Bakr [53] , Umm Salamah [56] , Zaynab bint Abi Salamah [244] , 'Abdullah bin Saalam [103] , Mu'awiya ibn Abu Sufyan [27] , Rabi'ah ibn Kab al-Aslami [464] , 'Abdullah bin 'Amr bin al-'Aas [29] , Anas bin Malik [19] , Abu Sa'id al-Khudri [38] , Jabir ibn 'Abdullah [34] , Fatima bint Qays [224] , 'Ata ibn Yasar [11020] , others","Son, Sa'd bin Ibrahim [11063] , 'Abdul Majeed bin Sahl bin 'Abdur Rahman [11705] , Zrarh bin Mus'ab bin Abd [12101] , 'Abdur Rahman bin Harmaz al-A'araj [11197] , 'Abd Rabba bin Sa'id bin Qays bin 'Amr [11191] , 'Urwa ibn al-Zubayr [10511] , al-Zuhri [11013] , Muhammad bin Ibrahim bin al-Harith [11213] , Yahya bin Abi Kathir [11449] , al-Aswad bin al-'Ala' bin Jaryh [10890] , Hameed bin Ziyad [11841] , Salm Abi al-Nadr [11164] , Sa'id bin Abi Sa'id (Kaysan) [11168] , Abu Hazam bin Sakhar bin al-Ayla [19235] , Salmah bin Kahayl al-Hadrami [11350] , Sulaiman bin Abi Muslim al-Ahwal [11247] , 'Amir al-Sha'bi [11052] , 'Abdullah bin Abi Labid [11515] , 'Abdullah bin Yazid al-Makhzumi [11189] , Yahya bin Sa'id al-Ansari [11062] , 'Umar bin al-Hakam bin Thuban [11897]","Narrator[Grade:Thiqah Thiqah] [ ع  -  ثقة ], Fiqh","Quraish [Quraish] , B.Zuhrah [B.Zuhrah] , Madni [Madni] , Imam [Imam]",NA,"11063, 11705, 12101, 11197, 11191, 10511, 11013, 11213, 11449, 10890, 11841, 11164, 11168, 19235, 11350, 11247, 11052, 11515, 11189, 11062, 11897","13, 17, 18, 8, 4, 6, 40, 37, 590, 431, 1986, 391, 53, 56, 244, 103, 27, 464, 29, 19, 38, 34, 224, 11020",Medina,[],NA,NA,94,NA,Medina,Natural,female,Abu Salamah ibn `Abdur-Rahman,Abu Salamah ibn `Abdur-Rahman,student,53,,,,Follower,"he also had a lot of students, try to find some who narrated from his aishah-narrated hadiths. https://isnad.io/rawi/10567, https://isnad.io/hadith/178"
