scholar_indx,name,grade,parents,spouse,siblings,children,birth_date_place,places_of_stay,death_date_place,teachers,students,area_of_interest,tags,books,students_inds,teachers_inds,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason,gender,simplename,fullname,info,generation
11,Sa'id bin Zayd ( سعيد بن زيد ( رضي الله عنه,Comp.(RA) [1st Generation],Zayd bin 'Amr bin Nufayl [567] / Fatima bint Ba'aja [568],"Fatima bint al-Khattab [78] , Khayra bint Qays [587]",'Atikah bint Zayd [196],"Asma bint Sa'id bin Zayd [96] , Zayd, Hisham bin S'aid bin Zayd [13269] , 'Abdur Rahman",~23 BH/594 CE (Makkah),"Makkah, Medina, Kufa",50 AH/671 CE (Medinah)[ Natural ],"Muhammad (saw) [1] ,","Hisham bin S'aid bin Zayd [13269] , 'Abdullah bin 'Amr bin al-'Aas [29] , 'Amr bin Hurayth bin 'Amr bin 'Uthman [5202] , Abu al-Tufayl, 'Amir bin Wathla [3660] , Qays bin Abi Hazim [11046] , Abu 'Uthman al-Nahdi [11113] , Humaid bin 'Abdur Rahman [10561] , 'Abdur Rahman bin 'Amr [11520] , 'Urwa ibn al-Zubayr [10511] , 'Abdur Rahman bin al-Akhns [15317] , 'Abbas bin Sahl bin Sa'd [11697] , 'Abdullah bin Zalm [19920] , Talha bin 'Abdullah [11043] , Muhammad bin Zayd bin 'Abdullah [11217] , Ibn Sirin [11035]","Recitation/Quran, Narrator [ ع  -  صحابة ], Commander","Quraish [Quraish] , B.'Adi [B.'Adi] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Promised Paradise [Promised%20Paradise] , Uhud [Uhud]",NA,"13269, 29, 5202, 3660, 11046, 11113, 10561, 11520, 10511, 15317, 11697, 19920, 11043, 11217, 11035",1,Makkah,"['23 BH', '594 CE']",23,594,50,671,Medinah,Natural,male,Sa`id ibn Zayd,Sa`id ibn Zayd,,
13,Abu Hurairah ( أبو هريرة - عبد الرحمن بن صخر الدوسي  ( رضي الله عنه,Comp.(RA) [1st Generation],/ Umaima/Maymuna,Basra bint Ghazwan [3656],NA,Daughter,"12 BH/603 CE (Baha, Yemen)","Makkah, Medina, Yemen, Bahrain",59 AH/681 CE (Medinah)[ Natural ],"Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , Fadl ibn al-'Abbas [135] , Ubayy ibn Ka'b [39] , Usamah ibn Zayd [50] , 'Aisha bint Abi Bakr [53] , نضرة بن أبي نضرة الغفاري, Ka'b al-Ahbar [4058]","Mahrar bin Abi Huraira [12496] , ibn Abbas [17] , ibn Umar [18] , Anas bin Malik [19] , Wathla bin al-'Asqa' [4049] , Jabir ibn 'Abdullah [34] , Marwan bin al-Hakam bin Abi al-'As [858] , Qubaysa bin Zuwayb [5232] , Sa'id ibn al-Musayyib [11002] , Salman al-Aghar Abu 'Abdullah [11171] , Qays bin Abi Hazim [11046] , Malik bin Abi 'Amir [11443] , Abu Umama bin Sahl [405] , Abu Idrees al-Khulani [11027] , Abu 'Uthman al-Nahdi [11113] , Abu Sufyan [11451] , Abu Rafi' al-Sa'agh [11226] , Abu Zara' bin 'Amr /Harm [11406] , al-Aghr Abu Muslim [11829] , ابن فارض, Basr bin Sa'id al-Madni [11153] , Bashayr bin Nahayk [11266] , بعجة الجهني, Thabit bin Ayad al-Ahnf [11677] , Hafs bin 'Asim bin 'Umar [11420] , حميد, Abu Salama bin 'Abdur Rahman [10567] , Hameed bin 'Abdur Rahman [11280] , Hanzalah bin 'Ali bin al-Aslami [11842] , Khbab al-Madni Sahb al-Mqswrh [11843] , Khalas bin 'Amr al-Hajri [11283] , al-Hakam bin Myna'a al-Ansari Mwlahm [11840] , Khalid bin Ghlaq [10907] , Ziyad bin Ryah [11850] , Salim bin 'Abdullah bin 'Umar [11011] , Zararah bin Awfa al-'Amiri al-Harshi [11284] , Salm Abu al-Ghyth al-Madni [11165] , Salm bin 'Abdullah al-Nasri [11852] , Kaysan Abu Sa'id al-Muqbari [11212] , Sa'id bin Abi Sa'id (Kaysan) [11168] , al-Hasan al-Basri [11016] , Ibn Sirin [11035] , Sa'id bin 'Amr bin Sa'id bin al-Aas [11509] , Sulayman ibn Yasar [11005] , Sa'id bin Yasar, Abu al-Hubab [11170] , Sinan bin Abi Sinan [11511] , 'Amir bin Sa'd ibn Abi Waqqas [10554] , Sharih bin Hani' al-Harithi [10774] , Shfa bin Mat' [18421] , Tawus bin Kaysan [11053] , 'Ikrama [11023] , Mujahid bin Jabir [11028] , 'Ata' bin Abi Rabah [11029] , 'Amir al-Sha'bi [11052] , 'Abdullah bin Rbah [11865] , 'Abdullah bin Shaqayq al-Aqayli [10694] , Tha'laba bin Sa'ayr [5003] , أبو الوليد عبد الله بن الحارث المصري, Sa'id bin al-Harith bin Abi Sa'id [11167] , Sa'id bin Sm'an al-Ansari [12135] , Sa'id bin Marjana [11571]","Narrator [ ع  -  صحابة ], Fiqh","Yemeni [Yemeni] , Dausi [Dausi] , Client [Client] , Late Muslim [Late%20Muslim]",NA,"12496, 17, 18, 19, 4049, 34, 858, 5232, 11002, 11171, 11046, 11443, 405, 11027, 11113, 11451, 11226, 11406, 11829, 11153, 11266, 11677, 11420, 10567, 11280, 11842, 11843, 11283, 11840, 10907, 11850, 11011, 11284, 11165, 11852, 11212, 11168, 11016, 11035, 11509, 11005, 11170, 11511, 10554, 10774, 18421, 11053, 11023, 11028, 11029, 11052, 11865, 10694, 5003, 11167, 12135, 11571","1, 2, 3, 135, 39, 50, 53, 4058","Baha, Yemen","['12 BH', '603 CE']",12,603,59,681,Medinah,Natural,male,Abu Hurayrah,Abu Hurayrah Abdur-Rahman ibn Sakhr,The most prolific narrator of hadith,
52,Sawda bint Zam'a ( سودة بنت زمعة ( رضي الله عنها,Comp.(RA) [1st Generation],Zama'h bin Qais b. 'Abd Shams / al-Shammus bint Qais b. Zaid b. 'Amr of Najjar,"al-Sakran bin 'Amr b. 'Abd Shams [450] , Prophet Muhammad(saw) [1]",Malik bin Zama'a b. Qays [787],'Abdur Rahman bin Sakran bin 'Amr [465],~25 BH (est.) (Makkah),"Makkah, Abyssinia, Medinah",55 AH or ~22 AH/648 CE (Medinah)[ Natural ],"Muhammad (saw) [1] , Prophet Muhammad(saw) [1]","ibn Abbas [17] , Yahya bin 'Abdullah bin 'Abdur Rahman [10633]","Recitation/Quran, Narrator [ خ  د  س  -  صحابة ]","Female [Female] , Quraish [Quraish] , B.'Amir [B.'Amir] , Early Muslim [Early%20Muslim] , Abyssinia 2 [Abyssinia%202] , Mother of the Believers [Mother%20of%20the%20Believers] , Emigrant [Emigrant]",NA,"17, 10633","1, 1","est., Makkah",['25 BH'],25,NA,55,648,Medinah,Natural,female,Sawdah bint Zam`ah,Sawdah bint Zam`ah,Second wife of the Prophet,
53,Aisha bint Abi Bakr ( أمّ المؤمنين عائشة بنت أبي بكر الصديق ( رضي الله عنها,Comp.(RA) [1st Generation],Abu Bakr As-Siddique [2] / Umm Ruman [91],Prophet Muhammad(saw) [1],'Abdur Rahman bin Abi Bakr [107],NA,9 BH/614 CE (Makkah),"Makkah, Medina",57 AH/678 CE (17 Ramadan) (Medina)[ Natural ],"Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , Talha ibn 'Ubaidullah [6] , Sa'd ibn Abi Waqqas [9] , Fatima bint Muhammad [63] , Judhama bint Jandal al-Asadiyya [961]","Asma' bint Abi Bakr [70] , 'Abdullah ibn al-Zubayr [106] , Abu Hurairah [13] , ibn Abbas [17] , ibn Umar [18] , Abu Musa al-Asha'ari [41] , 'Amr bin al-'Aas [28] , al-Qasim ibn Muhammad [10535] , 'Urwa ibn al-Zubayr [10511] , 'Abdullah ibn 'Abdur-Rahman ibn Abi Bakr [10520] , Hafsa bint 'Abdur-Rahman ibn Abi Bakr [10521] , Asma bint 'Abdur-Rahman [10522] , Sa'id ibn al-Musayyib [11002] , Others","Recitation/Quran, Tafsir/Quran, Narrator [ ع  -  صحابة ], Fiqh, Seerah","Female [Female] , Quraish [Quraish] , B.Taym [B.Taym] , Mother of the Believers [Mother%20of%20the%20Believers] , Emigrant [Emigrant] , Baqi' [Baqi']",NA,"70, 106, 13, 17, 18, 41, 28, 10535, 10511, 10520, 10521, 10522, 11002","1, 2, 3, 6, 9, 63, 961",Makkah,"['9 BH', '614 CE']",9,614,57,678,"17 Ramadan, Medina",Natural,female,`Aishah bint Abi Bakr,`Aishah bint Abi Bakr,Third wife of the Prophet and the most prolific woman narrator of hadith,
54,Hafsa bint Umar ( حفصة بنت عمر بن الخطاب أم المؤمنين ( رضي الله عنها,Comp.(RA) [1st Generation],'Umar ibn al-Khattab [3] / Zaynab bint Maz'un [124],"Khunays ibn Hudhaifa [152] , Prophet Muhammad(saw) [1]","ibn Umar [18] , 'Abdur Rahman bin 'Umar (Akbar) [560]",NA,14 BH/606 CE (Makkah),"Makkah, Medina",41 AH or 45 AH/665 CE (Medinah)[ Natural ],"Muhammad (saw) [1] , 'Umar ibn al-Khattab [3]","ibn Umar [18] , Hamza bin 'Abdullah bin 'Umar [11818] , Safiyya bint Abi 'Ubaid al-Thaqafi [11811] , Umm Mubashir al-Ansariyya [1293] , al-Mtlb bin Abi Wda'h [5295] , Harithh bin Wahb al-Khza'y [4109] , Shtyr bin Shkl bin Hameed [10773] , 'Abdullah bin Safwan bin Umayyah [487] , Swa'a al-Khza'y Akhw Mghyth [18400] , 'Abdur Rahman ibn al-Harith [448] , al-Musayb bin Rafa'i al-Asadi [11394] , Lahaaq bin Hameed bin Sa'id [11313]","Recitation/Quran, Tafsir/Quran, Narrator [ ع  -  صحابة ], Fiqh","Female [Female] , Quraish [Quraish] , B.'Adi [B.'Adi] , Mother of the Believers [Mother%20of%20the%20Believers]",NA,"18, 11818, 11811, 1293, 5295, 4109, 10773, 487, 18400, 448, 11394, 11313","1, 3",Makkah,"['14 BH', '606 CE']",14,606,41,665,Medinah,Natural,female,`Hafsah bint `Umar ibn al-Khattab,`Hafsah bint `Umar,"Wife of the Prophet, daughter of the second caliph `Umar ibn al-Khattab",
56,Umm Salamah ( أم سلمة بنت أبي أمية ( رضي الله عنها,Comp.(RA) [1st Generation],Abu Umayyah b. al-Mughirah b. 'Abdullah Makhzumi / 'Atika bint 'Amir bin Rabi'a bin Malik al-Kanania,"Abu Salamah [101] , Prophet Muhammad(saw) [1]","Qaraybah bint Abi Umayyah al-Sugra [81] , al-Muhajir bin Abi Umayyah [2088] , Rayta bint Abi Umayyah [2089]","Zaynab bint Abi Salamah [244] , Salamah bin Abi Salamah [245] , 'Umar bin Abi Salamah [246] , Durrah bintt Abi Salamah [247]",~25 BH (Makkah),"Makkah, Medina",62 AH/680 CE or 59 AH (Medinah)[ Natural ],"Muhammad (saw) [1] ,","Zaynab bint Abi Salamah [244] , 'Umar bin Abi Salamah [246] , 'Amir bin Abi Umayyah [2086] , Nabhan Abu Yahya al-Makhzumi [19824] , Sulayman ibn Yasar [11005] , 'Urwa ibn al-Zubayr [10511] , Mus'ab bin 'Abdullah [19004] , 'Abdullah bin Rafa'i [11864] , Naf' Mwla Umm Salmah [19067] , Safinah [438] , Abu Kathir [19466] , Khayra Umm al-Hasan al-Basri [10737] , Usamah ibn Zayd [50] , Hind bint al-Harith al-Farasiyya [11734] , Barra bint Abi Tajra [2808] , Abu 'Uthman al-Nahdi [11113] , Humaid bin 'Abdur Rahman [10561] , Abu Salama bin 'Abdur Rahman [10567] , Sa'id ibn al-Musayyib [11002] , Shaqayq bin Salmah al-Asadi [11353] , 'Amir al-Sha'bi [11052] , 'Abdur Rahman bin Abi Bakr [107] , 'Abdur Rahman ibn al-Harith [448] , Ikramah bin 'Abdur Rahman [11030] , Abu Bakr bin 'Abdur Rahman [11003] , Karayb bin Abi Muslim [11211] , Qubaysa bin Zuwayb [5232] , Nafie' [11014] , Ya'la bin Mamulk [13144]","Recitation/Quran, Narrator [ ع  -  صحابة ], Fiqh","Female [Female] , Quraish [Quraish] , B.Makhzum [B.Makhzum] , Abyssinia 1 [Abyssinia%201] , Abyssinia 2 [Abyssinia%202] , Mother of the Believers [Mother%20of%20the%20Believers] , Emigrant [Emigrant] , Baqi' [Baqi']",NA,"244, 246, 2086, 19824, 11005, 10511, 19004, 11864, 19067, 438, 19466, 10737, 50, 11734, 2808, 11113, 10561, 10567, 11002, 11353, 11052, 107, 448, 11030, 11003, 11211, 5232, 11014, 13144",1,Makkah,['25 BH'],25,NA,62,680,Medinah,Natural,female,Um Salamah,Hind bint Abi Umayyah,Wife of the Prophet,
57,Zaynab bint Jahsh ( زينب بنت جحش الأسدية أم المؤمنين ( رضي الله عنها,Comp.(RA) [1st Generation],Jahash bin Ri'ab al-Asadi / Umayma bint 'Abd al-Muttalib [9995],"Zayd ibn Harithah [15] , Prophet Muhammad(saw) [1]","'Abdullah bin Jahsh [26] , Hamnah bint Jahsh [72] , Abd' bin Jahsh [259] , Umm Habib bint Jahsh [136] , 'Ubaidullah bin Jahsh",NA,30 BH/593 CE (Makkah),"Makkah, Medina",20 AH/646 CE (Medinah)[ Natural ],"Muhammad (saw) [1] ,","Zaynab bint Abi Salamah [244] , Umm Habibah bint Abi Sufyan [59] , Muhammad bin 'Abdullah bin Jahsh [413] , Khultum bin al-Mstlq Whw Khultum [18881]","Recitation/Quran, Narrator [ ع  -  صحابة ]","Female [Female] , Ally B.'Abd Shams [Ally%20B.'Abd%20Shams] , B.Khuzayma [B.Khuzayma] , Mother of the Believers [Mother%20of%20the%20Believers] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Baqi' [Baqi']",NA,"244, 59, 413, 18881",1,Makkah,"['30 BH', '593 CE']",30,593,20,646,Medinah,Natural,female,Zaynab bint Jahsh,Zaynab bint Jahsh,Wife of the Prophet,
58,Juwayriya bint al-Harith ( جويرية بنت الحارث ( رضي الله عنها,Comp.(RA) [1st Generation],Harith ibn Abi Dirar,"Musafa bin Safwan, Prophet Muhammad(saw) [1]",NA,NA,~12 BH/608 CE (Medinah),Medinah,50-56 AH (Medinah)[ Natural ],"Muhammad (saw) [1] ,","ibn Abbas [17] , 'Ubaid bin al-Sabaq [11203] , Abu Ayoub al-Maraghi al-Azdi [11730] , Mujahid bin Jabir [11028] , Karayb bin Abi Muslim [11211] , Khultum bin al-Mstlq Whw Khultum [18881] , 'Abdullah ibn Shaddad [169]",Narrator [ ع  -  صحابي ],"Female [Female] , B.al-Mustaliq [B.al-Mustaliq] , B.Khuza'a [B.Khuza'a] , Mother of the Believers [Mother%20of%20the%20Believers] , Baqi' [Baqi']",NA,"17, 11203, 11730, 11028, 11211, 18881, 169",1,Medinah,"['12 BH', '608 CE']",12,608,56,NA,Medinah,Natural,female,Juwayriyah bint al-Harith,Juwayriyah bint al-Harith,Wife of the Prophet,
59,"Umm Habibah bint Abi Sufyan ( أم حبيبة ,رملة بنت أبي سفيان ( رضي الله عنها",Comp.(RA) [1st Generation],Abu Sufyan ibn Harb [116] / Safiyyah bint Abi al-'As bin Umayya,"'Ubayd-Allah ibn Jahsh, Prophet Muhammad(saw) [1]","Umiama/Umayna bint Abi Sufyan [845] , 'Unbasa bin Abi Sufyan [846] , 'Uzza bint Abi Sufyan [847] , Durrah bint Abi Sufyan [848] , Hamnah bint Abi Sufyan [849]","Habibah bint Ubayd-Allah [139] , 'Abdullah",34 BH/ 589 CE (Makkah),"Makkah, Abyssinia, Medina",42-44 AH/666 CE (Medinah)[ Natural ],"Muhammad (saw) [1] , Zaynab bint Jahsh [57]","Mu'awiya ibn Abu Sufyan [27] , Habibah bint Ubayd-Allah [139] , Zaynab bint Abi Salamah [244] , 'Urwa ibn al-Zubayr [10511] , 'Unbasa bin Sa'id bin al-Aas [11716] , 'Abdullah bin 'Utba [12236]","Recitation/Quran, Narrator [ ع  -  صحابة ]","Female [Female] , Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams] , Abyssinia 2 [Abyssinia%202] , Mother of the Believers [Mother%20of%20the%20Believers]",NA,"27, 139, 244, 10511, 11716, 12236","1, 57",Makkah,"['34 BH', '589 CE']",34,589,44,666,Medinah,Natural,female,Um Habibah bint Abi Sufyan,Um Habibah Ramlah bint Abi Sufyan,Wife of the Prophet,
61,Maymuna bint al-Harith ( ميمونة بنت الحارث بن حزن الهلالية ( رضي الله عنها,Comp.(RA) [1st Generation],Harith bin Hazan / Hind bint Awf [73],"Masood bin Amr, Abu Rajam bin Abdul Uzzah, Prophet Muhammad(saw) [1]","Lubaba(Sughra) bint al-Harith [141] , Umm Fadl Lubaba bint al-Harith [156] , Huzayla bint al-Harith [3010] , 'Izza bint al-Harith [3011] , Umama bint al-Harith [3012] , al-Saib bin al-Harith [3013] , Qatn bin al-Harith [3014] , Asma bint 'Umays [69] , Salma bint 'Umays [86] , Salaamah bin Umays, Awn",NA,20 BH/594 CE (Makkah),"Makkah, Medina",61 AH or 38 AH (Saraf/Makkah)[ Natural ],"Muhammad (saw) [1] , Prophet Muhammad(saw) [1]",ibn Abbas [17],"Recitation/Quran, Narrator [ ع  -  صحبة ]","Female [Female] , Non-Quraish [Non-Quraish] , B.Hilal [B.Hilal] , Mother of the Believers [Mother%20of%20the%20Believers]",NA,17,"1, 1",Makkah,"['20 BH', '594 CE']",20,594,61,NA,Saraf/Makkah,Natural,female,Maymunah bint al-Harith,Maymunah bint al-Harith,Wife of the Prophet,
69,Asma bint 'Umays ( أسماء بنت عميس بن معد ( رضي الله عنها,Comp.(RA) [1st Generation],'Umays ibn Ma'ad / Hind bint Awf [73],"Ja'far ibn Abi Talib [21] , Abu Bakr As-Siddique [2] , Ali ibn Abi Talib [5]","Salma bint 'Umays [86] , Salamah bint 'Umays, 'Awn bin 'Umays [3019]","'Abdullah ibn Ja'far [108] , Muhammad ibn Ja'far [184] , Awn ibn Ja'far [185] , Muhammad ibn Abi Bakr [168] , Yahya bin Ali, Muhammad",(Makkah),"Makkah, Medina, Abyssinia","~40 AH (Damascus, Syria)[ Natural ]","Muhammad (saw) [1] , Prophet Muhammad(saw) [1]","'Abdullah ibn Ja'far [108] , al-Qasim ibn Muhammad [10535] , ibn Abbas [17]","Recitation/Quran, Fiqh, Narrator [ خ  4  -  صحابي ]","Female [Female] , Non-Quraish [Non-Quraish] , Abyssinia 2 [Abyssinia%202] , Early Muslim [Early%20Muslim]",NA,"108, 10535, 17","1, 1",Makkah,[],NA,NA,40,NA,"Damascus, Syria",Natural,female,Asma bint `Umays,Asma bint `Umays,"Companion of the Prophet, known for having married, at three different points in time, three companions of the Prophet: Ja`far ibn Abi Talib, then Abu Bakr, then `Ali ibn Abi Talib",
70,Asma' bint Abi Bakr ( أسماء بنت أبي بكر الصديق ( رضي الله عنها,Comp.(RA) [1st Generation],Abu Bakr As-Siddique [2] / Qutaylah bint 'Abdul-'Uzza,Zubayr ibn al-Awwam [7],'Abdullah bin Abi Bakr [110],"'Abdullah ibn al-Zubayr [106] , al-Mundhir bin al-Zubayr [10510] , 'Urwa ibn al-Zubayr [10511] , ''Asim ibn al-Zubayr [10512] , al-Muhajir ibn al-Zubayr [10513] , Khadija al-Kubra bint al-Zubayr [10514] , Ummul Hasan bint al-Zubayr [10515] , 'Aisha bint al-Zubayr [10516]",27 BH (Makkah),"Makkah, Medina",73 AH/692 CE (Medinah)[ Natural ],"Muhammad (saw) [1] ,","'Abdullah ibn al-Zubayr [106] , 'Urwa ibn al-Zubayr [10511] , 'Aabad bin 'Abdullah bin al-Zubair [11250] , 'Abdullah bin 'Urwa [11699] , 'Aabad bin Hamza bin 'Abdullah [10926] , Fatima bint al-Mundhir bin al-Zubayr [10526] , 'Abdullah bin Kysan al-Qurshi [11188] , Wahb bin Kysan al-Quraishi [11231] , Safiyya bint Shayba bin 'Uthman [2802] , ibn Umar [18]","Recitation/Quran, Narrator [ ع  -  صحابة ], Fiqh","Female [Female] , Quraish [Quraish] , B.Taym [B.Taym]",NA,"106, 10511, 11250, 11699, 10926, 10526, 11188, 11231, 2802, 18",1,Makkah,['27 BH'],27,NA,73,692,Medinah,Natural,female,Asma bint Abi Bakr,Asma bint Abi Bakr,"Sister of the Prophet's wife `Aishah, and daughter of the first caliph Abu Bakr",
71,Umm Atiyyah Ansariyah ( أم عطية الأنصارية ( رضي الله عنها,Comp.(RA) [1st Generation],NA,NA,NA,NA,(Medinah),"Medina,  Basra",(Madinah)[ Natural ],"Muhammad (saw) [1] , 'Umar ibn al-Khattab [3]","Anas bin Malik [19] , Ibn Sirin [11035] , Hafsa bint Sirin [11039] , 'Abdul Malik bin 'Umayr al-Qabti [11368] , Isma'il bin 'Abdur Rahman [18043] , 'Ali bin al-Aqmar bin 'Amr [11375] , Umm Shrahyl [19549]","Recitation/Quran, Narrator [ ع  -  صحابة ], Fiqh","Female [Female] , Ansar [Ansar] , Khazra [Khazra] , War Nurse [War%20Nurse] , B.Mazin B.al-Najjar [B.Mazin%20B.al-Najjar]",NA,"19, 11035, 11039, 11368, 18043, 11375, 19549","1, 3",Medinah,[],NA,NA,NA,NA,Madinah,Natural,female,Um `Atiyyah al-Ansariyyah,Um `Atiyyah al-Ansariyyah,Companion of the Prophet,
84,Asma' bint Yazid bin al-Sakan ( أسماء بنت يزيد بن السكن ( رضي الله عنها,Comp.(RA) [1st Generation],Yazid bin al-Sakan [1840] / Umm Sa'd bint Khuzaym,Abu Sa'id al-Zrqy al-Ansari [1844],"'Amira bint Yazid bin al-Sakan [1864] , 'Amr bin Yazid bin al-Sakan [1842] , 'Amir bin Yazid bin al-Sakan [1843]",NA,(Medinah),"Medina, Damascus","~63 AH/683 CE (Damascus, Syria)[ Natural ]","Muhammad (saw) [1] ,","Mahmud bin 'Amr bin Yazid bin al-Sakan [12498] , Shar bin Hushab al-Asha'ri [11044] , Muhajir bin Abi Muslim (Dinar) [17066]","Recitation/Quran, Narrator [ م  -  صحابي ]","Female [Female] , Ansar [Ansar] , Aws [Aws] , B.'Abdul Ashhal [B.'Abdul%20Ashhal] , Ridhwan [Ridhwan] , Yarmuk [Yarmuk] , Warrior [Warrior]",NA,"12498, 11044, 17066",1,Medinah,[],NA,NA,63,683,"Damascus, Syria",Natural,female,Asma bint Yazid,Asma' bint Yazid ibn al-Sakan,Companion of the Prophet,
244,Zaynab bint Abi Salamah ( زينب بنت أبي سلمة  ( رضي الله عنها,Comp.(RA) [1st Generation],Abu Salamah [101] / Umm Salamah [56],'Abdullah b. Zama'a [192],"Salamah bin Abi Salamah [245] , 'Umar bin Abi Salamah [246] , Durrah bintt Abi Salamah [247]","Abu 'Ubaida bin 'Abdullah bin Zama' [10994] , Total 9 kids",(Abyssinia),"Abyssinia, Medina",73 AH (Medina)[ Natural ],"Muhammad (saw) [1] , Umm Salamah [56] , 'Aisha bint Abi Bakr [53] , Zaynab bint Jahsh [57] , Umm Habibah bint Abi Sufyan [59]","Abu 'Ubaida bin 'Abdullah bin Zama' [10994] , 'Urwa ibn al-Zubayr [10511] , Abu Salama bin 'Abdur Rahman [10567] , Hameed bin Nafi' al-Ansari [11157] , 'Arak bin Malik [11204] , others","Recitation/Quran, Narrator [ ع  -  صحابة ]","Female [Female] , Quraish [Quraish] , B.Makhzum [B.Makhzum] , Born Muslim [Born%20Muslim] , Child [Child] , Abyssinia 2 [Abyssinia%202]",NA,"10994, 10511, 10567, 11157, 11204","1, 56, 53, 57, 59",Abyssinia,[],NA,NA,73,NA,Medina,Natural,female,Zaynab bint Abi Salamah,Zaynab bint Abi Salamah,Daughter of Um Salamah and step-daughter of the Prophet,
2802,Safiyya bint Shayba bin 'Uthman ( صفية بنت شيبة بن عثمان العبدرية ( رضي الله عنها,Comp.(RA) [1st Generation],Shayba bin 'Uthman [2801] / Umm 'Uthman or Umm Walad Shayba [2805],"'Abdullah bin Khalid bin Usayd [991] , 'Abdur Rahman bin Talha bin al-Harith","'Abdur Rahman bin Shayba [2803] , Mus'ub bin Shayba [2804] , Jubayr","Umayya, 'Abdul 'Aziz, Mansur bin 'Abdur Rahman bin Talha [11565]",(Makkah),"Makkah, Medina",(Makkah)[ Natural ],"Muhammad (saw) [1] , 'Uthman bin Talha [2800] , 'Aisha bint Abi Bakr [53] , Umm Habibah bint Abi Sufyan [59] , Umm Salamah [56] , Asma' bint Abi Bakr [70] , Umm 'Uthman or Umm Walad Shayba [2805]","Nafie' [11014] , Mansur bin 'Abdur Rahman bin Talha [11565] , 'Abdul Hameed bin Jubayr bin Shayba [11255] , Nephews","Recitation/Quran, Narrator [ ع  -  صحابي ]","Female [Female] , Quraish [Quraish] , B.'Abd al-Dar [B.'Abd%20al-Dar] , Child [Child]",NA,"11014, 11565, 11255","1, 2800, 53, 59, 56, 70, 2805",Makkah,[],NA,NA,NA,NA,Makkah,Natural,female,Safiyyah bint Shaybah,Safiyyah bint Shaybah ibn 'Uthman,Companion of the Prophet,
